Lon	Lat
-87.29336	41.53321
-87.29231	41.53348
-87.29146	41.53403
-87.29279	41.5345
-87.29403	41.53457
-87.29661	41.53253
-87.29684	41.53246
-87.29708	41.53239
-83.92468	43.85351
-83.923	43.85323
-83.92494	43.85326
-83.92463	43.85258
-83.92375	43.85009
-83.92347	43.84961
-83.92385	43.84822
-83.92468	43.85426
-83.92502	43.85505
-83.92487	43.85603
-83.92524	43.85714
-93.93543	44.36388
-93.93543	44.36388
-93.93543	44.36388
-93.93543	44.36388
-93.93551	44.36413
-93.93551	44.36413
-93.93551	44.36413
-93.93551	44.36413
-93.93539	44.36389
-94.23291	45.53
-94.23407	45.52989
-94.23533	45.53001
-94.23644	45.52997
-94.23817	45.53011
-94.23932	45.52999
-94.24018	45.5299
-94.24018	45.5299
-94.24121	45.52907
-94.24085	45.52887
-94.23989	45.53088
-83.47987	40.0436
-83.48038	40.04397
-83.48064	40.04433
-83.47924	40.04521
-83.47935	40.04568
-83.47735	40.04499
-83.47891	40.04436
-83.47883	40.04413
-83.47956	40.04367
-83.09257	40.73097
-83.09328	40.73122
-83.094	40.73143
-83.09454	40.73155
-83.09472	40.73036
-83.09711	40.72946
-83.09625	40.72834
-83.09536	40.72835
-83.09294	40.72819
-83.09261	40.72944
-103.47675	43.76049
-103.47226	43.76195
-103.46704	43.76207
-103.45567	43.76737
-103.43264	43.7746
-103.41792	43.77624
-103.40278	43.77816
-103.3884	43.76564
-103.33803	43.77278
-103.25005	43.81684
-103.73782	44.47413
-103.80895	44.49133
-103.82365	44.48498
-103.83084	44.4799
-103.84972	44.4765
-103.84975	44.46733
-103.85467	44.46308
-103.86291	44.45616
-103.86419	44.45053
-103.87411	44.4337
