SYST-MOR-0006925.bam	lyrata
SYST-MOR-0006926.bam	xxx
SYST-MOR-0006927.bam	xxx
SYST-MOR-0006928.bam	xxx
SYST-MOR-0006929.bam	xxx
SYST-MOR-0006930.bam	xxx
SYST-MOR-0006931.bam	xxx
SYST-MOR-0006932.bam	macrocarpa_GRF
SYST-MOR-0006933.bam	macrocarpa_GRF
SYST-MOR-0006934.bam	macrocarpa_GRF
SYST-MOR-0006935.bam	macrocarpa_GRF
SYST-MOR-0006936.bam	macrocarpa_GRF
SYST-MOR-0006937.bam	macrocarpa_THB
SYST-MOR-0006938.bam	xxx
SYST-MOR-0006939.bam	xxx
SYST-MOR-0006940.bam	xxx
SYST-MOR-0006941.bam	xxx
SYST-MOR-0006942.bam	macrocarpa_THB
SYST-MOR-0006943.bam	macrocarpa_PMN
SYST-MOR-0006944.bam	macrocarpa_PMN
SYST-MOR-0006945.bam	macrocarpa_PMN
SYST-MOR-0006946.bam	xxx
SYST-MOR-0006947.bam	macrocarpa_PMN
SYST-MOR-0006948.bam	macrocarpa_PMN
SYST-MOR-0006949.bam	xxx
SYST-MOR-0006950.bam	xxx
SYST-MOR-0006951.bam	xxx
SYST-MOR-0006952.bam	xxx
SYST-MOR-0006953.bam	xxx
SYST-MOR-0006954.bam	xxx
SYST-MOR-0006955.bam	macrocarpa_PKL
SYST-MOR-0006956.bam	macrocarpa_PKL
SYST-MOR-0006957.bam	macrocarpa_PKL
SYST-MOR-0006958.bam	macrocarpa_PKL
SYST-MOR-0006959.bam	macrocarpa_PKL
SYST-MOR-0006960.bam	macrocarpa_WFS
SYST-MOR-0006961.bam	macrocarpa_WFS
SYST-MOR-0006962.bam	macrocarpa_WFS
SYST-MOR-0006963.bam	macrocarpa_WFS
SYST-MOR-0006964.bam	xxx
SYST-MOR-0006965.bam	xxx
SYST-MOR-0006966.bam	xxx
SYST-MOR-0006967.bam	xxx
SYST-MOR-0006968.bam	macrocarpa_WFS
SYST-MOR-0006969.bam	xxx
SYST-MOR-0006970.bam	bicolor
SYST-MOR-0006971.bam	xxx
SYST-MOR-0006972.bam	xxx
SYST-MOR-0006973.bam	macrocarpa_GLW
SYST-MOR-0006974.bam	xxx
SYST-MOR-0006975.bam	macrocarpa_GLW
SYST-MOR-0006976.bam	xxx
SYST-MOR-0006977.bam	macrocarpa_GLW
SYST-MOR-0006978.bam	xxx
SYST-MOR-0006979.bam	macrocarpa_GLW
SYST-MOR-0006980.bam	macrocarpa_GLW
SYST-MOR-0006981.bam	xxx
SYST-MOR-0006982.bam	xxx
SYST-MOR-0006983.bam	xxx
SYST-MOR-0006984.bam	alba
SYST-MOR-0006985.bam	xxx
SYST-MOR-0006986.bam	xxx
SYST-MOR-0006987.bam	xxx
SYST-MOR-0006988.bam	xxx
SYST-MOR-0006989.bam	xxx
SYST-MOR-0006990.bam	xxx
SYST-MOR-0006991.bam	xxx
SYST-MOR-0006992.bam	xxx
SYST-MOR-0006993.bam	xxx
SYST-MOR-0006994.bam	bicolor
SYST-MOR-0006995.bam	xxx
SYST-MOR-0006996.bam	xxx
SYST-MOR-0006997.bam	xxx
SYST-MOR-0006998.bam	xxx
SYST-MOR-0006999.bam	macrocarpa_PRA
SYST-MOR-0007000.bam	xxx
SYST-MOR-0007001.bam	macrocarpa_PRA
SYST-MOR-0007002.bam	macrocarpa_PRA
SYST-MOR-0007003.bam	macrocarpa_PRA
SYST-MOR-0007004.bam	xxx
SYST-MOR-0007005.bam	xxx
SYST-MOR-0007006.bam	xxx
SYST-MOR-0007007.bam	xxx
SYST-MOR-0007008.bam	xxx
SYST-MOR-0007009.bam	xxx
SYST-MOR-0007010.bam	xxx
SYST-MOR-0007011.bam	xxx
SYST-MOR-0007012.bam	xxx
SYST-MOR-0007013.bam	xxx
SYST-MOR-0007014.bam	xxx
SYST-MOR-0007015.bam	muehlenbergii
SYST-MOR-0007016.bam	macrocarpa_SMP
SYST-MOR-0007017.bam	xxx
SYST-MOR-0007018.bam	macrocarpa_SMP
SYST-MOR-0007019.bam	xxx
SYST-MOR-0007020.bam	macrocarpa_SMP
SYST-MOR-0007021.bam	xxx
SYST-MOR-0007022.bam	macrocarpa_SMP
SYST-MOR-0007023.bam	xxx
SYST-MOR-0007024.bam	macrocarpa_SMP
SYST-MOR-0007025.bam	xxx
SYST-MOR-0007026.bam	xxx
SYST-MOR-0007027.bam	xxx
SYST-MOR-0007028.bam	xxx
SYST-MOR-0007029.bam	xxx
SYST-MOR-0007030.bam	xxx
SYST-MOR-0007031.bam	xxx
SYST-MOR-0007032.bam	xxx
SYST-MOR-0007033.bam	xxx
SYST-MOR-0007034.bam	xxx
SYST-MOR-0007035.bam	xxx
SYST-MOR-0007036.bam	xxx
SYST-MOR-0007037.bam	macrocarpa_KZP
SYST-MOR-0007038.bam	macrocarpa_KZP
SYST-MOR-0007039.bam	xxx
SYST-MOR-0007040.bam	macrocarpa_KZP
SYST-MOR-0007041.bam	xxx
SYST-MOR-0007042.bam	macrocarpa_KZP
SYST-MOR-0007043.bam	xxx
SYST-MOR-0007044.bam	xxx
SYST-MOR-0007045.bam	macrocarpa_KZP
SYST-MOR-0007046.bam	muehlenbergii
SYST-MOR-0007047.bam	xxx
SYST-MOR-0007048.bam	macrocarpa_BIP
SYST-MOR-0007049.bam	macrocarpa_BIP
SYST-MOR-0007050.bam	xxx
SYST-MOR-0007051.bam	xxx
SYST-MOR-0007052.bam	xxx
SYST-MOR-0007053.bam	xxx
SYST-MOR-0007054.bam	xxx
SYST-MOR-0007055.bam	xxx
SYST-MOR-0007056.bam	xxx
SYST-MOR-0007057.bam	xxx
SYST-MOR-0007058.bam	xxx
SYST-MOR-0007059.bam	xxx
SYST-MOR-0007060.bam	xxx
SYST-MOR-0007061.bam	alba
SYST-MOR-0007062.bam	xxx
SYST-MOR-0007063.bam	xxx
SYST-MOR-0007064.bam	xxx
SYST-MOR-0007065.bam	xxx
SYST-MOR-0007066.bam	macrocarpa_SSP
SYST-MOR-0007067.bam	xxx
SYST-MOR-0007068.bam	xxx
SYST-MOR-0007069.bam	macrocarpa_SSP
SYST-MOR-0007070.bam	macrocarpa_SSP
SYST-MOR-0007071.bam	macrocarpa_CMB
SYST-MOR-0007072.bam	macrocarpa_CMB
SYST-MOR-0007073.bam	macrocarpa_CMB
SYST-MOR-0007074.bam	macrocarpa_CMB
SYST-MOR-0007075.bam	xxx
SYST-MOR-0007076.bam	macrocarpa_CMB
SYST-MOR-0007077.bam	xxx
SYST-MOR-0007078.bam	xxx
SYST-MOR-0007079.bam	xxx
SYST-MOR-0007080.bam	alba
SYST-MOR-0007081.bam	xxx
SYST-MOR-0007082.bam	xxx
SYST-MOR-0007083.bam	xxx
SYST-MOR-0007084.bam	xxx
SYST-MOR-0007085.bam	xxx
SYST-MOR-0007086.bam	macrocarpa_DHT
SYST-MOR-0007087.bam	xxx
SYST-MOR-0007088.bam	macrocarpa_DHT
SYST-MOR-0007089.bam	xxx
SYST-MOR-0007090.bam	montana
SYST-MOR-0007091.bam	xxx
SYST-MOR-0007092.bam	montana
SYST-MOR-0007093.bam	xxx
SYST-MOR-0007094.bam	montana
SYST-MOR-0007095.bam	xxx
SYST-MOR-0007096.bam	xxx
