,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,
62,SYST-MOR-0006761,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.004135,1.00E-05,0.983928,0.011887,1.00E-05,0.995815,TRUE
63,SYST-MOR-0006762,none,hybrid?,none,hybrid?,none,none,none,0,2,hybrid,1.00E-05,1.00E-05,1.00E-05,0.520091,1.00E-05,0.479849,1.00E-05,1.00E-05,0.479859,TRUE
64,SYST-MOR-0006763,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,0.99994,TRUE
65,SYST-MOR-0006764,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.10E-05,0.999929,1.00E-05,1.00E-05,0.999939,TRUE
66,SYST-MOR-0006765,none,none,none,pure?,none,none,none,1,0,pure,1.40E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999926,1.00E-05,1.00E-05,0.999936,TRUE
67,SYST-MOR-0006766,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.40E-05,1.00E-05,0.999926,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
68,SYST-MOR-0006767,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.003059,1.00E-05,0.996881,1.00E-05,1.00E-05,0.996891,TRUE
69,SYST-MOR-0006768,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
70,SYST-MOR-0006769,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.038096,1.00E-05,0.961844,1.00E-05,1.00E-05,0.961854,TRUE
71,SYST-MOR-0006770,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.963249,0.036691,1.00E-05,0.99994,TRUE
72,SYST-MOR-0006771,none,none,none,none,pure?,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,2.00E-05,FALSE
