V1	wc2.1_30s_bio_2	wc2.1_30s_bio_6	wc2.1_30s_bio_8	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_18
SYST-MOR-0007183.bam	10.5500001907349	-10.3000001907349	21.6499996185303	105	34	294
SYST-MOR-0007188.bam	10.5	-10.3000001907349	21.5666656494141	104	35	292
SYST-MOR-0007190.bam	10.5	-10.3000001907349	21.5666656494141	104	35	292
SYST-MOR-0007193.bam	10.5	-10.3000001907349	21.5666656494141	104	35	292
SYST-MOR-0007200.bam	11.3666667938232	-8.89999961853027	22.5666656494141	104	42	297
SYST-MOR-0007206.bam	11.0416669845581	-9.10000038146973	19.6333332061768	105	51	294
SYST-MOR-0007207.bam	11.0416669845581	-9.10000038146973	19.6333332061768	105	51	294
SYST-MOR-0007208.bam	11.0416669845581	-9.10000038146973	19.6333332061768	105	51	294
SYST-MOR-0007219.bam	11.8249998092651	-7.19999980926514	20.8166675567627	123	63	308
SYST-MOR-0007220.bam	11.8249998092651	-7.19999980926514	20.8166675567627	123	63	308
SYST-MOR-0007221.bam	11.7750005722046	-7.19999980926514	21.0666656494141	124	64	309
SYST-MOR-0007222.bam	11.7750005722046	-7.19999980926514	21.0666656494141	124	64	309
SYST-MOR-0007233.bam	11.6416664123535	-7.19999980926514	21.1166667938232	126	66	312
SYST-MOR-0007241.bam	11.3249998092651	-8.39999961853027	21.2666664123535	116	49	311
SYST-MOR-0007242.bam	11.3249998092651	-8.39999961853027	21.2666664123535	116	49	311
SYST-MOR-0007243.bam	11.3249998092651	-8.39999961853027	21.2666664123535	116	49	311
SYST-MOR-0007246.bam	11.3249998092651	-8.39999961853027	21.2666664123535	116	49	311
SYST-MOR-0007247.bam	11.3249998092651	-8.39999961853027	21.2666664123535	116	49	311
SYST-MOR-0007251.bam	11.8666667938232	-17.5	20.2333335876465	112	20	312
SYST-MOR-0007252.bam	11.8666667938232	-17.5	20.2333335876465	112	20	312
SYST-MOR-0007253.bam	11.8666667938232	-17.5	20.2333335876465	112	20	312
SYST-MOR-0007254.bam	11.9000005722046	-17.5	20.2333335876465	112	20	312
SYST-MOR-0007255.bam	11.8916664123535	-17.5	20.2333335876465	112	20	312
SYST-MOR-0007357.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007358.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
