File	Sample	samtools	readsmapped	read1	read2	properly_paired	pairsmapped	singleton	mateondifcsome	mateHQondifcsome (mapQ>=5)
SYST-MOR-0006937.bam	SYST-MOR-0006937	samtools 1.21	72392162	36477517	35914645	58731314	67135776	5256386	2915248	944361
SYST-MOR-0006938.bam	SYST-MOR-0006938	samtools 1.21	79624567	40011429	39613138	67995438	74398256	5226311	2358064	730741
SYST-MOR-0006939.bam	SYST-MOR-0006939	samtools 1.21	68869380	34666448	34202932	57710082	64163522	4705858	2328650	729077
SYST-MOR-0006940.bam	SYST-MOR-0006940	samtools 1.21	84831632	42745682	42085950	70647760	79017188	5814444	2934596	944162
SYST-MOR-0006941.bam	SYST-MOR-0006941	samtools 1.21	95927507	48373256	47554251	78174882	89663588	6263919	3912672	1258040
SRR24768754.bam	SRR24768754	samtools 1.21	95816261	48530975	47285286	72018096	78341798	17474463	3840500	646235
SYST-MOR-0006942.bam	SYST-MOR-0006942	samtools 1.21	105767129	53394768	52372361	84291712	98348498	7418631	4873742	1586585
SYST-MOR-0006943.bam	SYST-MOR-0006943	samtools 1.21	98224231	49482509	48741722	78408500	91567308	6656923	4564240	1501663
SYST-MOR-0006944.bam	SYST-MOR-0006944	samtools 1.21	91324538	45877850	45446688	76464292	85289038	6035500	3172466	1003439
SYST-MOR-0006945.bam	SYST-MOR-0006945	samtools 1.21	72203214	36327207	35876007	58993336	67184770	5018444	2913398	916538
SYST-MOR-0006946.bam	SYST-MOR-0006946	samtools 1.21	82168878	41407609	40761269	67982282	76529804	5639074	2961970	937006
SYST-MOR-0006947.bam	SYST-MOR-0006947	samtools 1.21	89362590	44990499	44372091	75665976	83506752	5855838	2881352	869822
SYST-MOR-0006948.bam	SYST-MOR-0006948	samtools 1.21	75139647	37775930	37363717	64326802	70234628	4905019	2199886	684237
SYST-MOR-0006949.bam	SYST-MOR-0006949	samtools 1.21	108200474	54495901	53704573	89387492	101510370	6690104	4152838	1308061
SYST-MOR-0006950.bam	SYST-MOR-0006950	samtools 1.21	94230089	47522691	46707398	75796758	88240698	5989391	4319832	1312922
SYST-MOR-0006951.bam	SYST-MOR-0006951	samtools 1.21	114076919	57602048	56474871	95537776	106763092	7313827	3953714	1187600
SRR24768763.bam	SRR24768763	samtools 1.21	94953786	48062720	46891066	71523340	77687390	17266396	3820836	614316
SYST-MOR-0006952.bam	SYST-MOR-0006952	samtools 1.21	93643585	47292817	46350768	73652918	86934490	6709095	4591974	1484504
SYST-MOR-0006953.bam	SYST-MOR-0006953	samtools 1.21	87647967	44108277	43539690	74956066	81953080	5694887	2546928	812727
SYST-MOR-0006954.bam	SYST-MOR-0006954	samtools 1.21	83401642	41893389	41508253	70289552	77944196	5457446	2834824	879386
SYST-MOR-0006955.bam	SYST-MOR-0006955	samtools 1.21	94365133	47504064	46861069	78324426	87796752	6568381	3448632	1058465
SYST-MOR-0006956.bam	SYST-MOR-0006956	samtools 1.21	100707737	50559167	50148570	89981880	95041584	5666153	1996368	591098
SYST-MOR-0006957.bam	SYST-MOR-0006957	samtools 1.21	79648895	40218897	39429998	65752128	74582694	5066201	3152250	964484
SYST-MOR-0006958.bam	SYST-MOR-0006958	samtools 1.21	106036305	53422592	52613713	88356260	99433014	6603291	3827354	1262797
SYST-MOR-0006959.bam	SYST-MOR-0006959	samtools 1.21	105068716	52849797	52218919	86796134	98643052	6425664	4220856	1325702
SYST-MOR-0006960.bam	SYST-MOR-0006960	samtools 1.21	105412248	53078609	52333639	86791626	98774030	6638218	4144570	1321545
SYST-MOR-0006961.bam	SYST-MOR-0006961	samtools 1.21	102193055	51481239	50711816	84583924	95081780	7111275	3813560	1231877
SRR26194535.bam	SRR26194535	samtools 1.21	169044679	85713587	83331092	137602090	155041764	14002915	6274726	1906864
SYST-MOR-0006962.bam	SYST-MOR-0006962	samtools 1.21	93003053	46796830	46206223	79932810	86875722	6127331	2615932	805819
SYST-MOR-0006963.bam	SYST-MOR-0006963	samtools 1.21	79635037	40090148	39544889	66949438	74305120	5329917	2628958	841640
SYST-MOR-0006964.bam	SYST-MOR-0006964	samtools 1.21	94930770	47779666	47151104	80166612	88638012	6292758	3051480	996116
SYST-MOR-0006965.bam	SYST-MOR-0006965	samtools 1.21	89254700	44964679	44290021	73866546	83662648	5592052	3400702	1127177
SYST-MOR-0006966.bam	SYST-MOR-0006966	samtools 1.21	103391904	52083121	51308783	83009134	96947776	6444128	4582248	1526108
SYST-MOR-0006967.bam	SYST-MOR-0006967	samtools 1.21	126561274	63797021	62764253	103146650	118501794	8059480	5255116	1661839
SYST-MOR-0006968.bam	SYST-MOR-0006968	samtools 1.21	80331499	40523288	39808211	64548474	74790696	5540803	3628022	1190037
SYST-MOR-0006969.bam	SYST-MOR-0006969	samtools 1.21	101197695	50961243	50236452	82992698	94358434	6839261	3946770	1253110
SYST-MOR-0006970.bam	SYST-MOR-0006970	samtools 1.21	88922609	44725155	44197454	76758486	83122234	5800375	2415376	708757
